sample_id,segment_id,is_ai_hit,business_line,ai_actor,decision_status,annotator,review_reason_or_comment,source_text_for_review,file_path
S011,S070,是,待判断,销售自用,pending_human_review,codex_prelabel,"模型预标注：显式关键词: ai,人工智能；业务线关键词不足；销售自用关键词命中: 学习；待你审批",本周思考本周周会听到了最多的就是AI，人工智能是非常好用的，自己用的少一些，但是无论问什么他都能够比人类更高效，不论是选简历，股票都更方便，更准确更智能，AI也是很好的业务工具，能够适当的利用会提高工作效率，成功率，自己也要多用像科技去融入学习。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/2026年3月第2周 将军汤 七战区（辽宁）工作周报.docx
S012,S012,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年3月2周将军汤六战区（甘、宁）工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车鹿角草：感谢赤楠协助处理医生相关问题陈知白：感谢银耳、玉簪对接批采解答疑问常思：感谢附子，理石，青蒿协助安排福州开发事宜木耆：感谢斑鸠处理中药批采感谢海蓬子解答医馆采购相关问题诚信坦荡，我想听你说方向建议人@部门推进存在问题建设性意见与措施降本增效协同攻坚高质量发展工作复盘与规划本周目标完成情况及工作回顾截止3月14日，区域云诊...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/2026年3月第2周 将军汤 六战区（甘、宁）工作周报.docx
S013,S013,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年3月2周 将军汤 二战区工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车全蝎：感谢胡芹协助，感谢忽木协助、感谢茉莉协助。九节风：感谢客服、技术同学处理医生注销问题。椒目：感谢忽木处理鸿蒙系统bug问题。诚信坦荡，我想听你说方向建议人@部门推进存在问题建设性意见与措施降本增效协同攻坚高质量发展工作复盘与规划云诊室3月目标377万，截止14号月目标完成率: 38.7%云管家3月目标40万，截止14号月目标完成...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/2026年3月第2周 将军汤 二战区工作周报.docx
S014,S014,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年3月2周 将军汤一战区（上海）工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车沉香：感谢红小豆帮忙处理云管家问题橘红：感谢鲫鱼解答活动问题金钗：感谢斑鸠帮忙批采报价白及：感谢鲫鱼及时帮忙处理兑换问题诚信坦荡，我想听你说方向建议人@部门推进存在问题建设性意见与措施降本增效协同攻坚沉香@拨云汤@杜松云管家会员功能操作复杂，业绩流水和会员储值后消费的业绩容易混淆。希望可以尽快完善会员功能，医生业绩数据结算等问题...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/2026年3月第2周 将军汤一战区（上海） 工作周报.docx
S015,S015,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年2月2周 将军汤 二战区工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车九节风：感谢桂花露处理售后问题；感谢大黄处理优惠券问题；椒目：感谢盾翅藤处理云诊室医生备案事宜；诚信坦荡，我想听你说方向建议人@部门推进存在问题建设性意见与措施降本增效协同攻坚高质量发展工作复盘与规划云诊室2月目标279万，截止2月13号目标完成率: 46%云管家2月目标30万，截止2月13号目标完成率: 49%一、 本周工作总结：山...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年02月第2周/2026年2月第2周 将军汤 二战区工作周报.docx
S016,S016,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年2月2周 将军汤 部门工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车蓝树：感谢附子，君迁子工作指导，帮助。芦笋：感谢附子，君迁子工作上的帮助感谢蓝树分享云管家大客户维护方法。合萌：感谢附子、君迁子工作指导无名子：感谢审核客服栲栗和蓝树的支持和指导。安痛藤：感谢蓝树、君迁子，附子的指导帮助幸运草：感谢君迁子，合萌的支持和帮助！海蜇：君迁子:感谢对工作规划指导！白药子：感谢附子的工作协助感谢君迁子的工作指导...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年02月第2周/2026年2月第2周 将军汤 河南工作周报.docx
S017,S017,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2025年1月线上战区工作汇报【提升专业 深化体系】填表人阿魏 2024.2.5本月工作总结人事事务方面工作内容工作情况简述备注目标1月战区目标业绩：430万1月实际完成业绩：410万1月完成率：95%2月目标拆解：401万余甘子70、狼尾草70、高粱65、紫芝60、苏子45、龙胆40、九莲灯40、思仙3增长增长医助：无增长原因：下降下降医助：全员下滑下降原因：1、春节放假这一周对业绩影响较大2、膏方随着冬至后也减少很多支持其他部门：将...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/线上战区2025.1月月报.docx
S018,S018,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2025年1月一战区工作汇报协同、专业、突破填表人： 白及 时间：2025.2.5本月工作总结战区事务方面工作内容工作情况简述备注目标战区本月目标业绩：云诊室829.4W；云管家93W本月实际完成业绩：云诊室882W；云管家105.9W本月已完成率：云诊室106%；云管家113%战区下月目标业绩：云诊室775.6W；云管家95W战区下月业绩拆解：云诊室—上海208.5W、广西231.2W、广东288.9W、海南47W云管家—上海28W、...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/销售一战区2025年1月月报.docx
S019,S019,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2025年1月二战区工作汇报【降本增效成为习惯、优化创新提升效益】填表人：全蝎 时间：2025.2.5本月工作总结战区事务方面工作内容工作情况简述备注目标战区本月目标业绩： 379万 本月实际完成业绩： 305万 云管家签约业绩：13.87万本月完成率： 80%。云管家目标完成率：60%战区下月目标业绩：313万 战区下月业绩区域拆解：山东167万、安徽75万，内蒙5万、河北66万。增长增长区域：无增长原因：下降下降区域：皖鲁冀、内蒙一...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/2025年二战区1月月报.docx
S020,S020,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2025年1月七战区工作汇报【降本增效成为习惯、优化创新提升效益】填表人：雷丸 时间：2025.2.5本月工作总结战区事务方面工作内容工作情况简述备注目标战区本月目标业绩： 云诊室291万 ，云管家27.4万本月实际完成业绩： 云诊室254万 ，云管家18.8万本月完成率：云诊室87% ，云管家69%七战区2月目标业绩：云诊室：283万，云管家：21.9万七战区2月业绩区域拆解：云诊室：辽宁：68.3万、吉林：86.5万、黑龙江：124...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/2025年七战区1月月报.docx
S021,S019,是,待判断,销售自用,pending_human_review,codex_prelabel,"模型预标注：显式关键词: 人工智能,deepseek；业务线关键词不足；销售自用关键词命中: deepseek；待你审批",春节假期间不断使用deepseek，这款人工智能软件后面将对中医药行业也产生巨大影响,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/五战区25年1月月报.docx
S022,S022,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,"[无AI命中片段] 文档预览：2025 年1月 三 战区工作汇报协同、专业、突破本月工作总结战区事务方面工作内容工作情况简述备注目标战区本月目标业绩：云诊室871.38万,云管家60万本月预计完成业绩：云诊室766.7万，完成率87.9%；云管家84万，完成率140%战区下月目标业绩：561.35万，云管家68万战区下月业绩区域拆解：云诊室浙江421.2万，江苏140.15万；云管家浙江45万，江苏23万增长增长原因：无下降下降原因：膏方节结束，区域膏方同比下降22...",/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/三战区25年1月月报.docx
S023,S015,是,云诊室,销售自用,confirmed,codex_prelabel,"模型预标注：显式关键词: 人工智能,deepseek；云诊室关键词命中: 医生；销售自用关键词命中: deepseek；待你审批",中医行业叠加上人工智能未来行业模式玩法将全变，有医生在体验了DeepSeek后发文章称水平和自己很接近了，没想到来得这么快，一旦医生权重下降，未来拼搏的重点可能就在于供应链和用户端运营。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/销售四战区2025年1月月报.docx
S024,S028,是,云诊室,潜在 AI 机会,confirmed,codex_prelabel,模型预标注：机会关键词: 资料整理；云诊室关键词命中: 医生；潜在 AI 机会关键词命中: 资料整理；待你审批,区域假期医生资料整理，后续关注大家表格医生跟进情况,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/第六战区25年1月月报.docx
